artist,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list
Brandi Carlile;Lucius,1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,0,"['acoustic_pop', 'ectofolk', 'folk', 'indie_folk', 'lilith', 'modern_folk_rock', 'new_americana']"
Highland Peak,72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,38.0,acoustic_chill,38,['acoustic_chill']
Motohiro Hata,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,54.0,j-acoustic j-pop j-rock japanese_singer-songwriter,61,"['j-acoustic', 'j-pop', 'j-rock', 'japanese_singer-songwriter']"
Andrew Belle,2DHDuADAHoUW6n0z80RLQF,Pieces,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,53.0,acoustic_pop,59,['acoustic_pop']
Ron Pope,5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,54.0,acoustic_pop neo_mellow piano_rock viral_pop,72,"['acoustic_pop', 'neo_mellow', 'piano_rock', 'viral_pop']"
Adam Christopher,2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,47.0,acoustic_cover,51,['acoustic_cover']
Andrew Belle,6xJOhSm4SvZwzy3uhWz26O,The Enemy,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,53.0,acoustic_pop,56,['acoustic_pop']
Aron Wright,7lLKxcNeJtDTWVRKHovLEC,Build It Better,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,42.0,acoustic_pop deep_acoustic_pop,53,"['acoustic_pop', 'deep_acoustic_pop']"
Chord Overstreet,25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,62.0,acoustic_pop,27,['acoustic_pop']
Sara Bareilles,4oa14QBfWRDfJy2agySy0L,Gravity,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,64.0,acoustic_pop ectofolk lilith neo_mellow pop_rock post-teen_pop viral_pop,68,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'post-teen_pop', 'viral_pop']"
Chord Overstreet,2gRKq9rIC5i1zuxp06zJWH,What's Left of You,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,62.0,acoustic_pop,65,['acoustic_pop']
Zack Tabudlo,08MFgEQeVLF37EyZ7jcwLc,Pano,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,69.0,acoustic_opm opm p-pop,75,"['acoustic_opm', 'opm', 'p-pop']"
Andrew Belle,6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,53.0,acoustic_pop,53,['acoustic_pop']
Kurt Cobain,7x4b0UccXSKBWxWmjcrG2T,And I Love Her,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,50.0,acoustic_rock grunge,67,"['acoustic_rock', 'grunge']"
Boyce Avenue;Bea Miller,6owKuyHxUqidcAA6fPKSyy,We Can't Stop,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,67.0,acoustic_cover neo_mellow viral_pop,65,"['acoustic_cover', 'neo_mellow', 'viral_pop']"
Tim Halperin,0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,0.582,0.255,4,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,139.884,48.0,channel_pop indiecoustica,0,"['channel_pop', 'indiecoustica']"
Canyon City,3e5yu9MkIvQx17mm7LF6KY,Alone with You,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,45.0,acoustic_pop indie_anthem-folk indiecoustica modern_indie_folk,50,"['acoustic_pop', 'indie_anthem-folk', 'indiecoustica', 'modern_indie_folk']"
Aaron Espe,6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,48.0,modern_indie_folk stomp_and_flutter,66,"['modern_indie_folk', 'stomp_and_flutter']"
Sara Bareilles,2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,64.0,acoustic_pop ectofolk lilith neo_mellow pop_rock post-teen_pop viral_pop,68,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'post-teen_pop', 'viral_pop']"
Andrew Belle,7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,53.0,acoustic_pop,63,['acoustic_pop']
Tyler Ward,0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,50.0,acoustic_cover viral_pop,36,"['acoustic_cover', 'viral_pop']"
Ron Pope,16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,54.0,acoustic_pop neo_mellow piano_rock viral_pop,60,"['acoustic_pop', 'neo_mellow', 'piano_rock', 'viral_pop']"
Five For Fighting,3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,55.0,neo_mellow piano_rock pop_rock,71,"['neo_mellow', 'piano_rock', 'pop_rock']"
Andrew Belle,3Et4LKZLnXygPYfNdeB3D3,When the End Comes,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,53.0,acoustic_pop,52,['acoustic_pop']
Bailey Jehl,2E9viCx0hJKNKNThd2MdGQ,You're Still The One,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,51.0,acoustic_chill,0,['acoustic_chill']
Ingrid Michaelson,0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,58.0,acoustic_pop ectofolk lilith neo_mellow,56,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow']"
Jason Mraz,38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,72.0,acoustic_pop dance_pop neo_mellow pop,68,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']"
A Great Big World,2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,60.0,neo_mellow piano_rock pop_rock viral_pop,57,"['neo_mellow', 'piano_rock', 'pop_rock', 'viral_pop']"
Eddie Vedder;Nusrat Fateh Ali Khan,4qCbMMMuEB56kHd4zPE6GD,The Long Road,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,61.0,acoustic_rock grunge permanent_wave,46,"['acoustic_rock', 'grunge', 'permanent_wave']"
Drew Holcomb & The Neighbors,11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,56.0,acoustic_pop stomp_and_holler,65,"['acoustic_pop', 'stomp_and_holler']"
Jason Mraz,7BXW1QCg56yzEBV8pW8pah,Have It All,0.643,0.638,1,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,82.001,72.0,acoustic_pop dance_pop neo_mellow pop,67,"['acoustic_pop', 'dance_pop', 'neo_mellow', 'pop']"
Gabrielle Aplin,2kMrCPZ0o5gErBPLCRgoli,Heavy Heart,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,55.0,acoustic_pop indie_anthem-folk neo-singer-songwriter uk_pop viral_pop,0,"['acoustic_pop', 'indie_anthem-folk', 'neo-singer-songwriter', 'uk_pop', 'viral_pop']"
Gabrielle Aplin,5IjTZ1g8KrIuV97N3OQZ0V,The House We Never Built,0.546,0.391,2,-10.786,0,0.063,0.784,2.72e-06,0.0552,0.202,139.669,55.0,acoustic_pop indie_anthem-folk neo-singer-songwriter uk_pop viral_pop,0,"['acoustic_pop', 'indie_anthem-folk', 'neo-singer-songwriter', 'uk_pop', 'viral_pop']"
Eddie Vedder,3bHhUEOTIbezeZ856R0BX5,Society,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,61.0,acoustic_rock grunge permanent_wave,71,"['acoustic_rock', 'grunge', 'permanent_wave']"
Gabrielle Aplin,0wf17wsLRwnnfh241GkeH5,Please Don't Say You Love Me,0.479,0.541,0,-9.862,1,0.0543,0.74,0.0,0.108,0.3,85.994,55.0,acoustic_pop indie_anthem-folk neo-singer-songwriter uk_pop viral_pop,0,"['acoustic_pop', 'indie_anthem-folk', 'neo-singer-songwriter', 'uk_pop', 'viral_pop']"
Gabrielle Aplin,3322ArxAq7wCSZI4fF77Q0,Please Don't Say You Love Me,0.479,0.541,0,-9.862,1,0.0543,0.74,0.0,0.108,0.3,85.994,55.0,acoustic_pop indie_anthem-folk neo-singer-songwriter uk_pop viral_pop,1,"['acoustic_pop', 'indie_anthem-folk', 'neo-singer-songwriter', 'uk_pop', 'viral_pop']"
Eddie Vedder,4LGF2tDg3878bs0mQPByZ4,Guaranteed,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,61.0,acoustic_rock grunge permanent_wave,63,"['acoustic_rock', 'grunge', 'permanent_wave']"
Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn,Brave,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,64.0,acoustic_pop ectofolk lilith neo_mellow pop_rock post-teen_pop viral_pop,71,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'post-teen_pop', 'viral_pop']"
KT Tunstall,2z2JKNU24UEngb4joR9p8f,Lonely This Christmas,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,61.0,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']"
KT Tunstall,2nef44o0sjJDKB1ta4S0ub,Lonely This Christmas,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,61.0,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']"
Five For Fighting,0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,55.0,neo_mellow piano_rock pop_rock,56,"['neo_mellow', 'piano_rock', 'pop_rock']"
The Civil Wars,04JS6OitE9VGsIS3S94Osg,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
The Civil Wars,5OGpsZeJRZ3t3MZioawcZW,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
KT Tunstall,3Vnes7v746dYzBn0FJTZ1W,Fairytale Of New York,0.447,0.555,2,-6.018,1,0.0349,0.218,3.46e-06,0.124,0.33,117.888,61.0,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']"
The Civil Wars,30cYWLpVdBZVLb1cYdmcTT,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
The Civil Wars,7sUqJ51FGSi3n7x4pYjY3v,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
The Civil Wars,15BFn2VmEtonsXfNL1lUmy,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
The Civil Wars,0WOFJR54wyTwLB11jcBDb1,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
The Civil Wars,1uDCw6LVMOmbZ6zRliNcNX,I Heard The Bells On Christmas Day,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,55.0,acoustic_pop indie_folk neo_mellow new_americana stomp_and_holler,0,"['acoustic_pop', 'indie_folk', 'neo_mellow', 'new_americana', 'stomp_and_holler']"
KT Tunstall,7DYsBLdOqz0z14tYWMt2Tn,Hold On,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04e-06,0.19,0.805,105.549,61.0,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']"
KT Tunstall,7cPuE0M35EajWPRO3nRcH8,Suddenly I See,0.603,0.78,0,-5.531,1,0.0438,0.139,0.0,0.164,0.693,100.499,61.0,ectofolk lilith neo_mellow pop_rock scottish_singer-songwriter,0,"['ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'scottish_singer-songwriter']"
Motohiro Hata,0U32q8CZRRo7xCzyiaZw5f,Rain,0.626,0.655,9,-6.69,1,0.0263,0.503,0.0,0.13,0.542,92.003,54.0,j-acoustic j-pop j-rock japanese_singer-songwriter,52,"['j-acoustic', 'j-pop', 'j-rock', 'japanese_singer-songwriter']"
