,Unnamed: 0,track_id,artist,album,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,analysis_url,artist_pop,genres,id,track_href,track_pop,type,uri
0,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV,62.0,j-acoustic j-pop japanese_singer-songwriter,5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/tracks/5SuOikwiRyPMVoIQDJUgSV,69,audio_features,spotify:track:5SuOikwiRyPMVoIQDJUgSV
1,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,https://api.spotify.com/v1/audio-analysis/4qPNDBW1i3p13qLCt0Ki3A,46.0,acoustic_chill,4qPNDBW1i3p13qLCt0Ki3A,https://api.spotify.com/v1/tracks/4qPNDBW1i3p13qLCt0Ki3A,49,audio_features,spotify:track:4qPNDBW1i3p13qLCt0Ki3A
2,2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,acoustic,https://api.spotify.com/v1/audio-analysis/1iJBSr7s7jYXzM8EGcbK5b,58.0,acoustic_pop ectofolk lilith neo_mellow,1iJBSr7s7jYXzM8EGcbK5b,https://api.spotify.com/v1/tracks/1iJBSr7s7jYXzM8EGcbK5b,54,audio_features,spotify:track:1iJBSr7s7jYXzM8EGcbK5b
3,3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,https://api.spotify.com/v1/audio-analysis/6lfxq3CG4xtTiEg7opyCyx,59.0,acoustic_pop viral_pop,6lfxq3CG4xtTiEg7opyCyx,https://api.spotify.com/v1/tracks/6lfxq3CG4xtTiEg7opyCyx,70,audio_features,spotify:track:6lfxq3CG4xtTiEg7opyCyx
4,4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,https://api.spotify.com/v1/audio-analysis/5vjLSffimiIP26QG5WcN2K,62.0,acoustic_pop,5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/tracks/5vjLSffimiIP26QG5WcN2K,82,audio_features,spotify:track:5vjLSffimiIP26QG5WcN2K
5,5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,acoustic,https://api.spotify.com/v1/audio-analysis/01MVOl9KtVTNfFiBU9I7dc,45.0,acoustic_pop neo_mellow,01MVOl9KtVTNfFiBU9I7dc,https://api.spotify.com/v1/tracks/01MVOl9KtVTNfFiBU9I7dc,0,audio_features,spotify:track:01MVOl9KtVTNfFiBU9I7dc
6,6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,60.0,neo_mellow piano_rock pop_rock viral_pop,6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,76,audio_features,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N
7,7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,72.0,acoustic_pop dance_pop neo_mellow pop,1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,81,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA
8,8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,72.0,acoustic_pop dance_pop neo_mellow pop,0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,74,audio_features,spotify:track:0IktbUcnAGrvD03AWnz3Q8
9,9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic,https://api.spotify.com/v1/audio-analysis/7k9GuJYLp2AzqokyEdwEw2,42.0,acoustic_pop piano_rock,7k9GuJYLp2AzqokyEdwEw2,https://api.spotify.com/v1/tracks/7k9GuJYLp2AzqokyEdwEw2,59,audio_features,spotify:track:7k9GuJYLp2AzqokyEdwEw2
10,10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,acoustic,https://api.spotify.com/v1/audio-analysis/4mzP5mHkRvGxdhdGdAH7EJ,69.0,acoustic_opm opm p-pop,4mzP5mHkRvGxdhdGdAH7EJ,https://api.spotify.com/v1/tracks/4mzP5mHkRvGxdhdGdAH7EJ,76,audio_features,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ
11,11,5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,acoustic,https://api.spotify.com/v1/audio-analysis/5ivF4eQBqJiVL5IAE9jRyl,72.0,acoustic_pop dance_pop neo_mellow pop,5ivF4eQBqJiVL5IAE9jRyl,https://api.spotify.com/v1/tracks/5ivF4eQBqJiVL5IAE9jRyl,72,audio_features,spotify:track:5ivF4eQBqJiVL5IAE9jRyl
12,12,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,198712,False,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4,acoustic,https://api.spotify.com/v1/audio-analysis/4ptDJbJl35d7gQfeNteBwp,45.0,acoustic_chill,4ptDJbJl35d7gQfeNteBwp,https://api.spotify.com/v1/tracks/4ptDJbJl35d7gQfeNteBwp,45,audio_features,spotify:track:4ptDJbJl35d7gQfeNteBwp
13,13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,acoustic,https://api.spotify.com/v1/audio-analysis/0X9MxHR1rTkEHDjp95F2OO,40.0,acoustic_chill,0X9MxHR1rTkEHDjp95F2OO,https://api.spotify.com/v1/tracks/0X9MxHR1rTkEHDjp95F2OO,60,audio_features,spotify:track:0X9MxHR1rTkEHDjp95F2OO
14,14,4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,acoustic,https://api.spotify.com/v1/audio-analysis/4LbWtBkN82ZRhz9jqzgrb3,62.0,acoustic_pop,4LbWtBkN82ZRhz9jqzgrb3,https://api.spotify.com/v1/tracks/4LbWtBkN82ZRhz9jqzgrb3,53,audio_features,spotify:track:4LbWtBkN82ZRhz9jqzgrb3
15,15,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,https://api.spotify.com/v1/audio-analysis/1KHdq8NK9QxnGjdXb55NiG,41.0,acoustic_pop,1KHdq8NK9QxnGjdXb55NiG,https://api.spotify.com/v1/tracks/1KHdq8NK9QxnGjdXb55NiG,56,audio_features,spotify:track:1KHdq8NK9QxnGjdXb55NiG
16,16,6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,acoustic,https://api.spotify.com/v1/audio-analysis/6xKeQgzfjixSUld14qUezm,42.0,acoustic_guitar_cover,6xKeQgzfjixSUld14qUezm,https://api.spotify.com/v1/tracks/6xKeQgzfjixSUld14qUezm,53,audio_features,spotify:track:6xKeQgzfjixSUld14qUezm
17,17,4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,acoustic,https://api.spotify.com/v1/audio-analysis/4Yo0igmcoNyat1secaH0OD,42.0,acoustic_guitar_cover,4Yo0igmcoNyat1secaH0OD,https://api.spotify.com/v1/tracks/4Yo0igmcoNyat1secaH0OD,52,audio_features,spotify:track:4Yo0igmcoNyat1secaH0OD
18,18,2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,https://api.spotify.com/v1/audio-analysis/2qLMf6TuEC3ruGJg4SMMN6,72.0,acoustic_pop dance_pop neo_mellow pop,2qLMf6TuEC3ruGJg4SMMN6,https://api.spotify.com/v1/tracks/2qLMf6TuEC3ruGJg4SMMN6,75,audio_features,spotify:track:2qLMf6TuEC3ruGJg4SMMN6
19,19,6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,acoustic,https://api.spotify.com/v1/audio-analysis/6CgNoAbFJ4Q4Id4EjtbXlC,67.0,acoustic_cover neo_mellow viral_pop,6CgNoAbFJ4Q4Id4EjtbXlC,https://api.spotify.com/v1/tracks/6CgNoAbFJ4Q4Id4EjtbXlC,67,audio_features,spotify:track:6CgNoAbFJ4Q4Id4EjtbXlC
20,20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,https://api.spotify.com/v1/audio-analysis/3S0OXQeoh0w6AY8WQVckRW,72.0,acoustic_pop dance_pop neo_mellow pop,3S0OXQeoh0w6AY8WQVckRW,https://api.spotify.com/v1/tracks/3S0OXQeoh0w6AY8WQVckRW,85,audio_features,spotify:track:3S0OXQeoh0w6AY8WQVckRW
21,21,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,acoustic,https://api.spotify.com/v1/audio-analysis/210JCw2LbYD4YIs8GiZ9iP,67.0,acoustic_cover neo_mellow viral_pop,210JCw2LbYD4YIs8GiZ9iP,https://api.spotify.com/v1/tracks/210JCw2LbYD4YIs8GiZ9iP,62,audio_features,spotify:track:210JCw2LbYD4YIs8GiZ9iP
22,22,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,https://api.spotify.com/v1/audio-analysis/5TvE3pk05pyFIGdSY9j4DJ,60.0,neo_mellow piano_rock pop_rock viral_pop,5TvE3pk05pyFIGdSY9j4DJ,https://api.spotify.com/v1/tracks/5TvE3pk05pyFIGdSY9j4DJ,73,audio_features,spotify:track:5TvE3pk05pyFIGdSY9j4DJ
23,23,0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,https://api.spotify.com/v1/audio-analysis/0BUuuEvNa5T4lMaewyiudB,72.0,acoustic_pop dance_pop neo_mellow pop,0BUuuEvNa5T4lMaewyiudB,https://api.spotify.com/v1/tracks/0BUuuEvNa5T4lMaewyiudB,4,audio_features,spotify:track:0BUuuEvNa5T4lMaewyiudB
24,24,3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,False,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,acoustic,https://api.spotify.com/v1/audio-analysis/3Hn3LfhrQOaKihdCibJsTs,72.0,acoustic_pop dance_pop neo_mellow pop,3Hn3LfhrQOaKihdCibJsTs,https://api.spotify.com/v1/tracks/3Hn3LfhrQOaKihdCibJsTs,0,audio_features,spotify:track:3Hn3LfhrQOaKihdCibJsTs
25,25,6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,False,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,4,acoustic,https://api.spotify.com/v1/audio-analysis/6D33wCKzWtNEgOovgeVJ7r,72.0,acoustic_pop dance_pop neo_mellow pop,6D33wCKzWtNEgOovgeVJ7r,https://api.spotify.com/v1/tracks/6D33wCKzWtNEgOovgeVJ7r,2,audio_features,spotify:track:6D33wCKzWtNEgOovgeVJ7r
26,26,5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,https://api.spotify.com/v1/audio-analysis/5IfCZDRXZrqZSm8AwE44PG,72.0,acoustic_pop dance_pop neo_mellow pop,5IfCZDRXZrqZSm8AwE44PG,https://api.spotify.com/v1/tracks/5IfCZDRXZrqZSm8AwE44PG,0,audio_features,spotify:track:5IfCZDRXZrqZSm8AwE44PG
27,27,0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,False,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,https://api.spotify.com/v1/audio-analysis/0dzKBptH2P5j5a0MifBMwM,72.0,acoustic_pop dance_pop neo_mellow pop,0dzKBptH2P5j5a0MifBMwM,https://api.spotify.com/v1/tracks/0dzKBptH2P5j5a0MifBMwM,0,audio_features,spotify:track:0dzKBptH2P5j5a0MifBMwM
28,28,5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,https://api.spotify.com/v1/audio-analysis/5QAMZTM5cmLg3fHX9ZbTZi,72.0,acoustic_pop dance_pop neo_mellow pop,5QAMZTM5cmLg3fHX9ZbTZi,https://api.spotify.com/v1/tracks/5QAMZTM5cmLg3fHX9ZbTZi,0,audio_features,spotify:track:5QAMZTM5cmLg3fHX9ZbTZi
29,29,2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,https://api.spotify.com/v1/audio-analysis/2qESE1ZeWly7I3YjyTXmXh,72.0,acoustic_pop dance_pop neo_mellow pop,2qESE1ZeWly7I3YjyTXmXh,https://api.spotify.com/v1/tracks/2qESE1ZeWly7I3YjyTXmXh,0,audio_features,spotify:track:2qESE1ZeWly7I3YjyTXmXh
30,30,3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,https://api.spotify.com/v1/audio-analysis/3EQV1ZHtHvq9OnVRYIdbg3,72.0,acoustic_pop dance_pop neo_mellow pop,3EQV1ZHtHvq9OnVRYIdbg3,https://api.spotify.com/v1/tracks/3EQV1ZHtHvq9OnVRYIdbg3,0,audio_features,spotify:track:3EQV1ZHtHvq9OnVRYIdbg3
31,31,3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,https://api.spotify.com/v1/audio-analysis/3ax0rfGb7exLtl02LL08U9,72.0,acoustic_pop dance_pop neo_mellow pop,3ax0rfGb7exLtl02LL08U9,https://api.spotify.com/v1/tracks/3ax0rfGb7exLtl02LL08U9,0,audio_features,spotify:track:3ax0rfGb7exLtl02LL08U9
32,32,1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,False,0.593,0.455,6,-8.192,1,0.0388,0.366,0.0,0.0914,0.564,202.019,4,acoustic,https://api.spotify.com/v1/audio-analysis/1m5LC29RE52Bxy7hxvpOlL,62.0,acoustic_pop,1m5LC29RE52Bxy7hxvpOlL,https://api.spotify.com/v1/tracks/1m5LC29RE52Bxy7hxvpOlL,0,audio_features,spotify:track:1m5LC29RE52Bxy7hxvpOlL
33,33,3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,False,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,https://api.spotify.com/v1/audio-analysis/3H36x7buZdQD4687VmFrwY,65.0,acoustic_pop ectofolk folk indie_folk lilith modern_folk_rock new_americana,3H36x7buZdQD4687VmFrwY,https://api.spotify.com/v1/tracks/3H36x7buZdQD4687VmFrwY,0,audio_features,spotify:track:3H36x7buZdQD4687VmFrwY
